Ticker,Name,address,latitude,longitude,Price,Climate Chg Pol:Y,Equal Opp Pol:Y,Water Policy,Human Rights Pol:Y,Energy Effic Pol:Y,Bus Ethics Pol:Y,Biodiv Pol:Y,Registered State Location,Product/Geographic Revenue,Revenue T12M,ISIN,ICB Industry Name,ICB Sector Name,Registered Country Location,Total Water Withdrawal,Tot Wtr Use:Y,Tot Wtr Dschgd:Y,Wste Sent to Ldflls:Y,Waste Recycl:Y ,Total Waste:Y,Energy Consump:Y ,GHG Scope 3:Y,GHG Scope 2:Y,GHG Scope 1:Y
EOG UN Equity,EOG Resources Inc,"Amsterdam,âè_Netherlands",52.3264009,4.739650991,71.45,1,1,1,1,1,1,0,0,0,8048251008,US26875P1012,Oil & Gas,Oil & Gas Producers,US,0,,,,,,,,159.1190033,
EQIX UW Equity,Equinix Inc,"Federal Way, Washington",42.1167065,-86.4541894,325.81,0,1,0,1,1,1,0,0,0,2725867072,US29444U7000,Financials,Real Estate Investment Trusts,US,0,,,,,,,1433,,215.1535034
EQR UN Equity,Equity Residential,"Golden Valley, Minnesota",45.0020097,-93.3585273,73.9,0,1,1,0,1,1,0,0,0,2744965056,US29476L1070,Financials,Real Estate Investment Trusts,US,0,,,,,,,602.289978,,284
EQT UN Equity,EQT Corp,"Houston, Texas",29.7589382,-95.3676974,65.13,0,1,0,0,1,1,1,0,0,2039698016,US26884L1098,Oil & Gas,Oil & Gas Producers,US,0,6174.632324,,,,,78.18669891,2272.991943,,171
ES UN Equity,Eversource Energy,"New York, New York",43.1561681,-75.8449946,56.8,1,1,0,1,1,1,1,0,0,7954827008,US30040W1080,Utilities,Electricity,US,0,,,30.21820068,2.618200064,37.40000153,6936.470215,46.00500107,614.9099731,3361.48999
ESRX UW Equity,Express Scripts Holding Co,"Houston, Texas",29.7589382,-95.3676974,70.05,0,0,0,0,0,1,0,0,0,1.02E+11,US30219G1085,Health Care,Health Care Equipment & Services,US,0,,,,,,,,,
ESS UN Equity,Essex Property Trust Inc,"San Antonio, Texas",37.442156,-122.1634472,230.6,0,0,0,0,0,1,0,0,0,1194406944,US2971781057,Financials,Real Estate Investment Trusts,US,0,,,,,,,,,28.11599922
ETFC UW Equity,E*TRADE Financial Corp,"White Plains, New York",42.3604823,-71.0595678,22.95,0,1,0,0,0,1,0,0,0,1557000000,US2692464017,Financials,Financial Services,US,0,,,,,,,510.519989,,288.7000122
ETN UN Equity,Eaton Corp PLC,"Marlborough, Massachusetts[4]",42.12029425,-73.26821971,59.48,0,1,0,1,1,1,0,0,0,20855000064,IE00B8KQN827,Industrials,General Industrials,IE,0,3800,,20.39999962,145.8000031,181,1927,980.78302,670,248
ETR UN Equity,Entergy Corp,"Bethpage, New York",40.7442664,-73.4820687,77.19,1,1,0,0,1,1,0,0,0,11513250304,US29364G1031,Utilities,Electricity,US,0,,,,,,42640.80078,,5316.459961,
